Indicator,Country,Date,value
Cumulative number of suspected Ebola cases,Mali,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-26,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-26,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-02-26,19
Cumulative number of probable Ebola cases,Nigeria,2015-02-26,1
Cumulative number of suspected Ebola cases,Nigeria,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-26,20
Cumulative number of confirmed Ebola cases,Senegal,2015-02-26,1
Cumulative number of probable Ebola cases,Senegal,2015-02-26,0
Cumulative number of suspected Ebola cases,Senegal,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-26,1
Cumulative number of confirmed Ebola cases,Spain,2015-02-26,1
Cumulative number of probable Ebola cases,Spain,2015-02-26,0
Cumulative number of suspected Ebola cases,Spain,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-26,1
Cumulative number of confirmed Ebola cases,United States of America,2015-02-26,4
Cumulative number of probable Ebola cases,United States of America,2015-02-26,0
Cumulative number of suspected Ebola cases,United States of America,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-26,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-02-26,7
Cumulative number of probable Ebola deaths,Nigeria,2015-02-26,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-26,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-02-26,0
Cumulative number of probable Ebola deaths,Senegal,2015-02-26,0
Cumulative number of suspected Ebola deaths,Senegal,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-26,0
Cumulative number of confirmed Ebola deaths,Spain,2015-02-26,0
Cumulative number of probable Ebola deaths,Spain,2015-02-26,0
Cumulative number of suspected Ebola deaths,Spain,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-26,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-02-26,1
Cumulative number of probable Ebola deaths,United States of America,2015-02-26,0
Cumulative number of suspected Ebola deaths,United States of America,2015-02-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-26,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-02-25,1
Cumulative number of probable Ebola cases,United Kingdom,2015-02-25,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-25,0
Cumulative number of confirmed Ebola cases,Guinea,2015-02-25,2762
Cumulative number of probable Ebola cases,Guinea,2015-02-25,387
Cumulative number of suspected Ebola cases,Guinea,2015-02-25,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-25,3155
Number of confirmed Ebola cases in the last 21 days,Guinea,2015-02-25,152
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2015-02-25,152
Cumulative number of confirmed Ebola deaths,Guinea,2015-02-25,1704
Cumulative number of probable Ebola deaths,Guinea,2015-02-25,387
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-25,2091
Cumulative number of confirmed Ebola cases,Liberia,2015-02-25,3153
Cumulative number of probable Ebola cases,Liberia,2015-02-25,1888
Cumulative number of suspected Ebola cases,Liberia,2015-02-25,4197
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-25,9238
Number of confirmed Ebola cases in the last 21 days,Liberia,2015-02-25,10
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2015-02-25,10
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-25,4037
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-02-25,8289
Cumulative number of probable Ebola cases,Sierra Leone,2015-02-25,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-02-25,2725
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2015-02-25,235
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2015-02-25,235
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-02-25,3095
Cumulative number of probable Ebola deaths,Sierra Leone,2015-02-25,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-02-25,158
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-25,3461
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-25,11301
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-25,1
Cumulative number of confirmed Ebola cases,Mali,2015-02-25,7
Cumulative number of probable Ebola cases,Mali,2015-02-25,1
Cumulative number of suspected Ebola cases,Mali,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-25,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-25,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-02-25,19
Cumulative number of probable Ebola cases,Nigeria,2015-02-25,1
Cumulative number of suspected Ebola cases,Nigeria,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-25,20
Cumulative number of confirmed Ebola cases,Senegal,2015-02-25,1
Cumulative number of probable Ebola cases,Senegal,2015-02-25,0
Cumulative number of suspected Ebola cases,Senegal,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-25,1
Cumulative number of confirmed Ebola cases,Spain,2015-02-25,1
Cumulative number of probable Ebola cases,Spain,2015-02-25,0
Cumulative number of suspected Ebola cases,Spain,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-25,1
Cumulative number of confirmed Ebola cases,United States of America,2015-02-25,4
Cumulative number of probable Ebola cases,United States of America,2015-02-25,0
Cumulative number of suspected Ebola cases,United States of America,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-25,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-02-25,7
Cumulative number of probable Ebola deaths,Nigeria,2015-02-25,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-25,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-02-25,0
Cumulative number of probable Ebola deaths,Senegal,2015-02-25,0
Cumulative number of suspected Ebola deaths,Senegal,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-25,0
Cumulative number of confirmed Ebola deaths,Spain,2015-02-25,0
Cumulative number of probable Ebola deaths,Spain,2015-02-25,0
Cumulative number of suspected Ebola deaths,Spain,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-25,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-02-25,1
Cumulative number of probable Ebola deaths,United States of America,2015-02-25,0
Cumulative number of suspected Ebola deaths,United States of America,2015-02-25,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-25,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-02-23,1
Cumulative number of probable Ebola cases,United Kingdom,2015-02-23,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-23,3155
Cumulative number of confirmed Ebola cases,Guinea,2015-02-23,2758
Cumulative number of probable Ebola cases,Guinea,2015-02-23,387
Cumulative number of suspected Ebola cases,Guinea,2015-02-23,10
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-23,2086
Cumulative number of confirmed Ebola deaths,Guinea,2015-02-23,1699
Cumulative number of probable Ebola deaths,Guinea,2015-02-23,387
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-23,9229
Cumulative number of confirmed Ebola cases,Liberia,2015-02-23,3153
Cumulative number of probable Ebola cases,Liberia,2015-02-23,1888
Cumulative number of suspected Ebola cases,Liberia,2015-02-23,4188
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-23,4032
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-23,11155
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-02-23,8223
Cumulative number of probable Ebola cases,Sierra Leone,2015-02-23,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-02-23,2645
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-23,3423
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-02-23,3057
Cumulative number of probable Ebola deaths,Sierra Leone,2015-02-23,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-02-23,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-23,1
Cumulative number of confirmed Ebola cases,Mali,2015-02-23,7
Cumulative number of probable Ebola cases,Mali,2015-02-23,1
Cumulative number of suspected Ebola cases,Mali,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-23,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-23,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-02-23,19
Cumulative number of probable Ebola cases,Nigeria,2015-02-23,1
Cumulative number of suspected Ebola cases,Nigeria,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-02-23,20
Cumulative number of confirmed Ebola cases,Senegal,2015-02-23,1
Cumulative number of probable Ebola cases,Senegal,2015-02-23,0
Cumulative number of suspected Ebola cases,Senegal,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-02-23,1
Cumulative number of confirmed Ebola cases,Spain,2015-02-23,1
Cumulative number of probable Ebola cases,Spain,2015-02-23,0
Cumulative number of suspected Ebola cases,Spain,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-02-23,1
Cumulative number of confirmed Ebola cases,United States of America,2015-02-23,4
Cumulative number of probable Ebola cases,United States of America,2015-02-23,0
Cumulative number of suspected Ebola cases,United States of America,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-02-23,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-02-23,7
Cumulative number of probable Ebola deaths,Nigeria,2015-02-23,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-02-23,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-02-23,0
Cumulative number of probable Ebola deaths,Senegal,2015-02-23,0
Cumulative number of suspected Ebola deaths,Senegal,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-02-23,0
Cumulative number of confirmed Ebola deaths,Spain,2015-02-23,0
Cumulative number of probable Ebola deaths,Spain,2015-02-23,0
Cumulative number of suspected Ebola deaths,Spain,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-02-23,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-02-23,1
Cumulative number of probable Ebola deaths,United States of America,2015-02-23,0
Cumulative number of suspected Ebola deaths,United States of America,2015-02-23,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-02-23,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-02-20,1
Cumulative number of probable Ebola cases,United Kingdom,2015-02-20,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-02-20,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-20,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-20,3120
Cumulative number of confirmed Ebola cases,Guinea,2015-02-20,2734
Cumulative number of probable Ebola cases,Guinea,2015-02-20,384
Cumulative number of suspected Ebola cases,Guinea,2015-02-20,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-20,2072
Cumulative number of confirmed Ebola deaths,Guinea,2015-02-20,1688
Cumulative number of probable Ebola deaths,Guinea,2015-02-20,384
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-20,9096
Cumulative number of confirmed Ebola cases,Liberia,2015-02-20,3152
Cumulative number of probable Ebola cases,Liberia,2015-02-20,1882
Cumulative number of suspected Ebola cases,Liberia,2015-02-20,4062
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-20,3947
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-20,11155
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-02-20,8223
Cumulative number of probable Ebola cases,Sierra Leone,2015-02-20,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-02-20,2645
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-20,3423
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-02-20,3057
Cumulative number of probable Ebola deaths,Sierra Leone,2015-02-20,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-02-20,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-20,1
Cumulative number of confirmed Ebola cases,Mali,2015-02-20,7
Cumulative number of probable Ebola cases,Mali,2015-02-20,1
Cumulative number of suspected Ebola cases,Mali,2015-02-20,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-02-20,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-02-20,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-02-20,19
Cumulative number of probable Ebola cases,Nigeria,2015-02-20,1
