Indicator,Country,Date,value
Cumulative number of probable Ebola cases,Guinea,2015-03-02,392
Cumulative number of suspected Ebola cases,Guinea,2015-03-02,5
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-02,2127
Cumulative number of confirmed Ebola deaths,Guinea,2015-03-02,1735
Cumulative number of probable Ebola deaths,Guinea,2015-03-02,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-02,9265
Cumulative number of confirmed Ebola cases,Liberia,2015-03-02,3153
Cumulative number of probable Ebola cases,Liberia,2015-03-02,1888
Cumulative number of suspected Ebola cases,Liberia,2015-03-02,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-02,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-03-02,11443
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-03-02,8353
Cumulative number of probable Ebola cases,Sierra Leone,2015-03-02,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-03-02,2803
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-03-02,3530
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-03-02,3164
Cumulative number of probable Ebola deaths,Sierra Leone,2015-03-02,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-03-02,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-03-02,1
Cumulative number of confirmed Ebola cases,Mali,2015-03-02,7
Cumulative number of probable Ebola cases,Mali,2015-03-02,1
Cumulative number of suspected Ebola cases,Mali,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-02,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-02,8
Cumulative number of confirmed Ebola cases,Nigeria,2015-03-02,19
Cumulative number of probable Ebola cases,Nigeria,2015-03-02,1
Cumulative number of suspected Ebola cases,Nigeria,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-02,20
Cumulative number of confirmed Ebola cases,Senegal,2015-03-02,1
Cumulative number of probable Ebola cases,Senegal,2015-03-02,0
Cumulative number of suspected Ebola cases,Senegal,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-02,1
Cumulative number of confirmed Ebola cases,Spain,2015-03-02,1
Cumulative number of probable Ebola cases,Spain,2015-03-02,0
Cumulative number of suspected Ebola cases,Spain,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-02,1
Cumulative number of confirmed Ebola cases,United States of America,2015-03-02,4
Cumulative number of probable Ebola cases,United States of America,2015-03-02,0
Cumulative number of suspected Ebola cases,United States of America,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2015-03-02,4
Cumulative number of confirmed Ebola deaths,Nigeria,2015-03-02,7
Cumulative number of probable Ebola deaths,Nigeria,2015-03-02,1
Cumulative number of suspected Ebola deaths,Nigeria,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-02,8
Cumulative number of confirmed Ebola deaths,Senegal,2015-03-02,0
Cumulative number of probable Ebola deaths,Senegal,2015-03-02,0
Cumulative number of suspected Ebola deaths,Senegal,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-02,0
Cumulative number of confirmed Ebola deaths,Spain,2015-03-02,0
Cumulative number of probable Ebola deaths,Spain,2015-03-02,0
Cumulative number of suspected Ebola deaths,Spain,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-02,0
Cumulative number of confirmed Ebola deaths,United States of America,2015-03-02,1
Cumulative number of probable Ebola deaths,United States of America,2015-03-02,0
Cumulative number of suspected Ebola deaths,United States of America,2015-03-02,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2015-03-02,1
Cumulative number of confirmed Ebola cases,United Kingdom,2015-02-27,1
Cumulative number of probable Ebola cases,United Kingdom,2015-02-27,0
Cumulative number of suspected Ebola cases,United Kingdom,2015-02-27,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,2015-02-27,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-02-27,3190
Cumulative number of confirmed Ebola cases,Guinea,2015-02-27,2790
Cumulative number of probable Ebola cases,Guinea,2015-02-27,392
Cumulative number of suspected Ebola cases,Guinea,2015-02-27,8
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-02-27,2113
Cumulative number of confirmed Ebola deaths,Guinea,2015-02-27,1721
Cumulative number of probable Ebola deaths,Guinea,2015-02-27,392
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-02-27,9265
Cumulative number of confirmed Ebola cases,Liberia,2015-02-27,3153
Cumulative number of probable Ebola cases,Liberia,2015-02-27,1888
Cumulative number of suspected Ebola cases,Liberia,2015-02-27,4224
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-02-27,4057
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2015-02-27,11370
Cumulative number of confirmed Ebola cases,Sierra Leone,2015-02-27,8320
Cumulative number of probable Ebola cases,Sierra Leone,2015-02-27,287
Cumulative number of suspected Ebola cases,Sierra Leone,2015-02-27,2763
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2015-02-27,3490
Cumulative number of confirmed Ebola deaths,Sierra Leone,2015-02-27,3124
Cumulative number of probable Ebola deaths,Sierra Leone,2015-02-27,208
Cumulative number of suspected Ebola deaths,Sierra Leone,2015-02-27,158
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,2015-02-27,1
Cumulative number of confirmed Ebola cases,Mali,2015-02-27,7
